Fixed Point: 12dc340112dc340112dc340112dc3401 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 828fc801828fc801828fc801828fc801 | Rounds: 4 | Key: 00000000000000000000000000000000
Fixed Point: 8b9ded018b9ded018b9ded018b9ded01 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 4db4b1024db4b1024db4b1024db4b102 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: b610c402b610c402b610c402b610c402 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 27266c0327266c0327266c0327266c03 | Rounds: 12 | Key: 00000000000000000000000000000000
Fixed Point: c975a203c975a203c975a203c975a203 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 0f13bb030f13bb030f13bb030f13bb03 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: d503d503d503d503d503d503d503d503 | Rounds: 24 | Key: 00000000000000000000000000000000
Fixed Point: d603d603d603d603d603d603d603d603 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 3dd5ff033dd5ff033dd5ff033dd5ff03 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 35cd850435cd850435cd850435cd8504 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 5cd890045cd890045cd890045cd89004 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 0f050f050f050f050f050f050f050f05 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 32053205320532053205320532053205 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: a705a705a705a705a705a705a705a705 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 86068606860686068606860686068606 | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: 421dc406421dc406421dc406421dc406 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: cf06cf06cf06cf06cf06cf06cf06cf06 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 6f943c076f943c076f943c076f943c07 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: f107f107f107f107f107f107f107f107 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 20082008200820082008200820082008 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 6f4b86086f4b86086f4b86086f4b8608 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 3e0a3e0a3e0a3e0a3e0a3e0a3e0a3e0a | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 72b45a0a72b45a0a72b45a0a72b45a0a | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: ff4adf0aff4adf0aff4adf0aff4adf0a | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: 0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b | Rounds: 27 | Key: 00000000000000000000000000000000
Fixed Point: 9b0c9b0c9b0c9b0c9b0c9b0c9b0c9b0c | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 150d150d150d150d150d150d150d150d | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 690d690d690d690d690d690d690d690d | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 6e0e6e0e6e0e6e0e6e0e6e0e6e0e6e0e | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: 13bb030f13bb030f13bb030f13bb030f | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 050f050f050f050f050f050f050f050f | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: e00fe00fe00fe00fe00fe00fe00fe00f | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: f54c1110f54c1110f54c1110f54c1110 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: c402b610c402b610c402b610c402b610 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: c210c210c210c210c210c210c210c210 | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: e410e410e410e410e410e410e410e410 | Rounds: 24 | Key: 00000000000000000000000000000000
Fixed Point: 10f54c1110f54c1110f54c1110f54c11 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: dc340112dc340112dc340112dc340112 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 39123912391239123912391239123912 | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: 3539b4123539b4123539b4123539b412 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: c41fbb12c41fbb12c41fbb12c41fbb12 | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: bb030f13bb030f13bb030f13bb030f13 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 1b131b131b131b131b131b131b131b13 | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: 748ea713748ea713748ea713748ea713 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 14141414141414141414141414141414 | Rounds: 27 | Key: 00000000000000000000000000000000
Fixed Point: 0d150d150d150d150d150d150d150d15 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: e4e39515e4e39515e4e39515e4e39515 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 1eaab2161eaab2161eaab2161eaab216 | Rounds: 12 | Key: 00000000000000000000000000000000
Fixed Point: 536d9817536d9817536d9817536d9817 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: a517a517a517a517a517a517a517a517 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 64fa711864fa711864fa711864fa7118 | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: 131b131b131b131b131b131b131b131b | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: f81bf81bf81bf81bf81bf81bf81bf81b | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: f21cf21cf21cf21cf21cf21cf21cf21c | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: c406421dc406421dc406421dc406421d | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: aab2161eaab2161eaab2161eaab2161e | Rounds: 12 | Key: 00000000000000000000000000000000
Fixed Point: ffe7aa1effe7aa1effe7aa1effe7aa1e | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: d4fad41ed4fad41ed4fad41ed4fad41e | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: bb12c41fbb12c41fbb12c41fbb12c41f | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: 08200820082008200820082008200820 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: a5dae620a5dae620a5dae620a5dae620 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 7a9df8207a9df8207a9df8207a9df820 | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: 76227622762276227622762276227622 | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: 23232323232323232323232323232323 | Rounds: 27 | Key: 00000000000000000000000000000000
Fixed Point: b323b323b323b323b323b323b323b323 | Rounds: 24 | Key: 00000000000000000000000000000000
Fixed Point: eab29225eab29225eab29225eab29225 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: a225a225a225a225a225a225a225a225 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 26262626262626262626262626262626 | Rounds: 27 | Key: 00000000000000000000000000000000
Fixed Point: aebb2626aebb2626aebb2626aebb2626 | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: 6c0327266c0327266c0327266c032726 | Rounds: 12 | Key: 00000000000000000000000000000000
Fixed Point: 77267726772677267726772677267726 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 60858a2660858a2660858a2660858a26 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 26aebb2626aebb2626aebb2626aebb26 | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: 7c8afb267c8afb267c8afb267c8afb26 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 266c0327266c0327266c0327266c0327 | Rounds: 12 | Key: 00000000000000000000000000000000
Fixed Point: aa2f5627aa2f5627aa2f5627aa2f5627 | Rounds: 4 | Key: 00000000000000000000000000000000
Fixed Point: b927b927b927b927b927b927b927b927 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 3b32f3273b32f3273b32f3273b32f327 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: addbf029addbf029addbf029addbf029 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: c374f129c374f129c374f129c374f129 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b | Rounds: 27 | Key: 00000000000000000000000000000000
Fixed Point: c42cc42cc42cc42cc42cc42cc42cc42c | Rounds: 24 | Key: 00000000000000000000000000000000
Fixed Point: 2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d | Rounds: 27 | Key: 00000000000000000000000000000000
Fixed Point: 4a2d4a2d4a2d4a2d4a2d4a2d4a2d4a2d | Rounds: 8 | Key: 00000000000000000000000000000000
Fixed Point: 5cc9b92d5cc9b92d5cc9b92d5cc9b92d | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 79837b2f79837b2f79837b2f79837b2f | Rounds: 12 | Key: 00000000000000000000000000000000
Fixed Point: 5627aa2f5627aa2f5627aa2f5627aa2f | Rounds: 4 | Key: 00000000000000000000000000000000
Fixed Point: 8247af2f8247af2f8247af2f8247af2f | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 35303530353035303530353035303530 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: db31db31db31db31db31db31db31db31 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 05320532053205320532053205320532 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 32323232323232323232323232323232 | Rounds: 27 | Key: 00000000000000000000000000000000
Fixed Point: f3273b32f3273b32f3273b32f3273b32 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 6c67a7326c67a7326c67a7326c67a732 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 926cc732926cc732926cc732926cc732 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: af56ad33af56ad33af56ad33af56ad33 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 97349734973497349734973497349734 | Rounds: 24 | Key: 00000000000000000000000000000000
Fixed Point: 0112dc340112dc340112dc340112dc34 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: cd850435cd850435cd850435cd850435 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 39b4123539b4123539b4123539b41235 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 30353035303530353035303530353035 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 6be6b1356be6b1356be6b1356be6b135 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 12391239123912391239123912391239 | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: b4123539b4123539b4123539b4123539 | Rounds: 47 | Key: 00000000000000000000000000000000
