Fixed Point: 215b3704215b3704215b3704215b3704 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 05a1550405a1550405a1550405a15504 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: a1550405a1550405a1550405a1550405 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 05050505050505050505050505050505 | Rounds: 3 | Key: 08080808080808080808080808080808
Fixed Point: 41074107410741074107410741074107 | Rounds: 2 | Key: 08080808080808080808080808080808
Fixed Point: 4d084d084d084d084d084d084d084d08 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 09090909090909090909090909090909 | Rounds: 1 | Key: 08080808080808080808080808080808
Fixed Point: 5f095f095f095f095f095f095f095f09 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: c94e200bc94e200bc94e200bc94e200b | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 58a3840b58a3840b58a3840b58a3840b | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 4b92cc0e4b92cc0e4b92cc0e4b92cc0e | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 3687100f3687100f3687100f3687100f | Rounds: 4 | Key: 08080808080808080808080808080808
Fixed Point: 10101010101010101010101010101010 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: 0f3687100f3687100f3687100f368710 | Rounds: 4 | Key: 08080808080808080808080808080808
Fixed Point: 8ecffa108ecffa108ecffa108ecffa10 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 13131313131313131313131313131313 | Rounds: 11 | Key: 08080808080808080808080808080808
Fixed Point: 17171717171717171717171717171717 | Rounds: 5 | Key: 08080808080808080808080808080808
Fixed Point: 63186318631863186318631863186318 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c | Rounds: 11 | Key: 08080808080808080808080808080808
Fixed Point: 2c1c2c1c2c1c2c1c2c1c2c1c2c1c2c1c | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 3af5451e3af5451e3af5451e3af5451e | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: bbccc11ebbccc11ebbccc11ebbccc11e | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 0bc94e200bc94e200bc94e200bc94e20 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 5b3704215b3704215b3704215b370421 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 31213121312131213121312131213121 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: ba5ce721ba5ce721ba5ce721ba5ce721 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 22222222222222222222222222222222 | Rounds: 11 | Key: 08080808080808080808080808080808
Fixed Point: 9a249a249a249a249a249a249a249a24 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: ff3e9f24ff3e9f24ff3e9f24ff3e9f24 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: b7f5a628b7f5a628b7f5a628b7f5a628 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: c7f96b29c7f96b29c7f96b29c7f96b29 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a | Rounds: 11 | Key: 08080808080808080808080808080808
Fixed Point: 1c2c1c2c1c2c1c2c1c2c1c2c1c2c1c2c | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c | Rounds: 4 | Key: 08080808080808080808080808080808
Fixed Point: 2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: 5342602e5342602e5342602e5342602e | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: a652cd2ea652cd2ea652cd2ea652cd2e | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 4c3299304c3299304c3299304c329930 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 21312131213121312131213121312131 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 99304c3299304c3299304c3299304c32 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 33333333333333333333333333333333 | Rounds: 5 | Key: 08080808080808080808080808080808
Fixed Point: 34343434343434343434343434343434 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: a535a535a535a535a535a535a535a535 | Rounds: 2 | Key: 08080808080808080808080808080808
Fixed Point: d335d335d335d335d335d335d335d335 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 87100f3687100f3687100f3687100f36 | Rounds: 4 | Key: 08080808080808080808080808080808
