Fixed Point: de626100de626100de626100de626100 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 48329500483295004832950048329500 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 4c039c004c039c004c039c004c039c00 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 9c004c039c004c039c004c039c004c03 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 7e08c6037e08c6037e08c6037e08c603 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 4b87f4034b87f4034b87f4034b87f403 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 466cfa03466cfa03466cfa03466cfa03 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: aca86d04aca86d04aca86d04aca86d04 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 22b50c0522b50c0522b50c0522b50c05 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: b1afa705b1afa705b1afa705b1afa705 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 2c917a062c917a062c917a062c917a06 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 424cbc06424cbc06424cbc06424cbc06 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: adcde706adcde706adcde706adcde706 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: c6037e08c6037e08c6037e08c6037e08 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: d975ab08d975ab08d975ab08d975ab08 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: e9dcc708e9dcc708e9dcc708e9dcc708 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 09090909090909090909090909090909 | Rounds: 16 | Key: 50505050505050505050505050505050
Fixed Point: 1e41200a1e41200a1e41200a1e41200a | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: a15dd50aa15dd50aa15dd50aa15dd50a | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 380f520b380f520b380f520b380f520b | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 0522b50c0522b50c0522b50c0522b50c | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 4d342e0f4d342e0f4d342e0f4d342e0f | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 520b380f520b380f520b380f520b380f | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: cbf04910cbf04910cbf04910cbf04910 | Rounds: 4 | Key: 50505050505050505050505050505050
Fixed Point: 674cb811674cb811674cb811674cb811 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 20ab7e1420ab7e1420ab7e1420ab7e14 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 15151515151515151515151515151515 | Rounds: 16 | Key: 50505050505050505050505050505050
Fixed Point: 66fddd1566fddd1566fddd1566fddd15 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 49164916491649164916491649164916 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a | Rounds: 16 | Key: 50505050505050505050505050505050
Fixed Point: ea1aea1aea1aea1aea1aea1aea1aea1a | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: b4e5d41bb4e5d41bb4e5d41bb4e5d41b | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: c0d06c1cc0d06c1cc0d06c1cc0d06c1c | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d | Rounds: 16 | Key: 50505050505050505050505050505050
Fixed Point: 8126ad1d8126ad1d8126ad1d8126ad1d | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 41200a1e41200a1e41200a1e41200a1e | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: ab7e1420ab7e1420ab7e1420ab7e1420 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 0a1e41200a1e41200a1e41200a1e4120 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: d9e69a20d9e69a20d9e69a20d9e69a20 | Rounds: 37 | Key: 50505050505050505050505050505050
