Fixed Point: 9f5327009f5327009f5327009f532700 | Rounds: 27 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 0cc765020cc765020cc765020cc76502 | Rounds: 26 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 1a031a031a031a031a031a031a031a03 | Rounds: 12 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 05050505050505050505050505050505 | Rounds: 18 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 09090909090909090909090909090909 | Rounds: 45 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 8b0b8b0b8b0b8b0b8b0b8b0b8b0b8b0b | Rounds: 16 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: c765020cc765020cc765020cc765020c | Rounds: 26 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 320f320f320f320f320f320f320f320f | Rounds: 46 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 5f6290135f6290135f6290135f629013 | Rounds: 21 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 15151515151515151515151515151515 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: e9e61816e9e61816e9e61816e9e61816 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 69166916691669166916691669166916 | Rounds: 27 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d416d416d416d416d416d416d416d416 | Rounds: 14 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 74f3611874f3611874f3611874f36118 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 16e9e61816e9e61816e9e61816e9e618 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 031a031a031a031a031a031a031a031a | Rounds: 12 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d330601bd330601bd330601bd330601b | Rounds: 33 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d | Rounds: 19 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 8b1d8b1d8b1d8b1d8b1d8b1d8b1d8b1d | Rounds: 24 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 2070411e2070411e2070411e2070411e | Rounds: 34 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 70411e2070411e2070411e2070411e20 | Rounds: 34 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 20202020202020202020202020202020 | Rounds: 34 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d825d825d825d825d825d825d825d825 | Rounds: 49 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 59563b2659563b2659563b2659563b26 | Rounds: 48 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: b026b026b026b026b026b026b026b026 | Rounds: 19 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 009f5327009f5327009f5327009f5327 | Rounds: 27 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 28282828282828282828282828282828 | Rounds: 33 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: b12ab12ab12ab12ab12ab12ab12ab12a | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: fc2d4a2bfc2d4a2bfc2d4a2bfc2d4a2b | Rounds: 40 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 4a2bfc2d4a2bfc2d4a2bfc2d4a2bfc2d | Rounds: 40 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 601bd330601bd330601bd330601bd330 | Rounds: 33 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: b831b831b831b831b831b831b831b831 | Rounds: 17 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 0f320f320f320f320f320f320f320f32 | Rounds: 46 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d536d536d536d536d536d536d536d536 | Rounds: 6 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: a838a838a838a838a838a838a838a838 | Rounds: 46 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 2659563b2659563b2659563b2659563b | Rounds: 48 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 5e3b5e3b5e3b5e3b5e3b5e3b5e3b5e3b | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 40404040404040404040404040404040 | Rounds: 5 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 1e2070411e2070411e2070411e207041 | Rounds: 34 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 8e428e428e428e428e428e428e428e42 | Rounds: 23 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 47474747474747474747474747474747 | Rounds: 44 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 9e499e499e499e499e499e499e499e49 | Rounds: 27 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: a649a649a649a649a649a649a649a649 | Rounds: 13 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 2bfc2d4a2bfc2d4a2bfc2d4a2bfc2d4a | Rounds: 40 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a | Rounds: 43 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
