Fixed Point: e603e603e603e603e603e603e603e603 | Rounds: 24 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 07040704070407040704070407040704 | Rounds: 40 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 04070407040704070407040704070407 | Rounds: 40 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: d8daab07d8daab07d8daab07d8daab07 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6b086b086b086b086b086b086b086b08 | Rounds: 50 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 9a0b9a0b9a0b9a0b9a0b9a0b9a0b9a0b | Rounds: 20 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3a113a113a113a113a113a113a113a11 | Rounds: 50 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6b116b116b116b116b116b116b116b11 | Rounds: 26 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 13131313131313131313131313131313 | Rounds: 4 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 18181818181818181818181818181818 | Rounds: 40 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: ff79381bff79381bff79381bff79381b | Rounds: 6 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d | Rounds: 19 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 34d2f81e34d2f81e34d2f81e34d2f81e | Rounds: 26 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 22222222222222222222222222222222 | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: a027a027a027a027a027a027a027a027 | Rounds: 34 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: d729d729d729d729d729d729d729d729 | Rounds: 36 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3e2e3e2e3e2e3e2e3e2e3e2e3e2e3e2e | Rounds: 34 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 5173e3335173e3335173e3335173e333 | Rounds: 12 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: d2f81e34d2f81e34d2f81e34d2f81e34 | Rounds: 26 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 1bff79381bff79381bff79381bff7938 | Rounds: 6 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 113a113a113a113a113a113a113a113a | Rounds: 50 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 913a913a913a913a913a913a913a913a | Rounds: 8 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b | Rounds: 32 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: f93bf93bf93bf93bf93bf93bf93bf93b | Rounds: 31 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 51c9ad3c51c9ad3c51c9ad3c51c9ad3c | Rounds: 17 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 2e3e2e3e2e3e2e3e2e3e2e3e2e3e2e3e | Rounds: 34 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f | Rounds: 8 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 41414141414141414141414141414141 | Rounds: 26 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: ae8e7646ae8e7646ae8e7646ae8e7646 | Rounds: 27 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 49494949494949494949494949494949 | Rounds: 18 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 906f704d906f704d906f704d906f704d | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 73e3335173e3335173e3335173e33351 | Rounds: 12 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: c9ad3c51c9ad3c51c9ad3c51c9ad3c51 | Rounds: 17 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 59595959595959595959595959595959 | Rounds: 11 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e | Rounds: 3 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 60606060606060606060606060606060 | Rounds: 38 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 66656665666566656665666566656665 | Rounds: 39 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 65666566656665666566656665666566 | Rounds: 39 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 72667266726672667266726672667266 | Rounds: 42 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 67676767676767676767676767676767 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 086b086b086b086b086b086b086b086b | Rounds: 50 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 116b116b116b116b116b116b116b116b | Rounds: 26 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8e6f8e6f8e6f8e6f8e6f8e6f8e6f8e6f | Rounds: 4 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 704d906f704d906f704d906f704d906f | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 4d906f704d906f704d906f704d906f70 | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 66726672667266726672667266726672 | Rounds: 42 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: e3335173e3335173e3335173e3335173 | Rounds: 12 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 46ae8e7646ae8e7646ae8e7646ae8e76 | Rounds: 27 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 381bff79381bff79381bff79381bff79 | Rounds: 6 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: aa7daa7daa7daa7daa7daa7daa7daa7d | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e | Rounds: 11 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f | Rounds: 4 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 87878787878787878787878787878787 | Rounds: 42 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6f8e6f8e6f8e6f8e6f8e6f8e6f8e6f8e | Rounds: 4 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 7646ae8e7646ae8e7646ae8e7646ae8e | Rounds: 27 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f | Rounds: 38 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6f704d906f704d906f704d906f704d90 | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3a913a913a913a913a913a913a913a91 | Rounds: 8 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 93919391939193919391939193919391 | Rounds: 14 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 91939193919391939193919391939193 | Rounds: 14 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 95959595959595959595959595959595 | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 9996d9959996d9959996d9959996d995 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: d9959996d9959996d9959996d9959996 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 96d9959996d9959996d9959996d99599 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
