Fixed Point: 01010101010101010101010101010101 | Rounds: 5 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: e704e704e704e704e704e704e704e704 | Rounds: 36 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: f204f204f204f204f204f204f204f204 | Rounds: 23 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 08080808080808080808080808080808 | Rounds: 13 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: d508d508d508d508d508d508d508d508 | Rounds: 37 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 09090909090909090909090909090909 | Rounds: 2 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 1c091c091c091c091c091c091c091c09 | Rounds: 25 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 8af1ec0a8af1ec0a8af1ec0a8af1ec0a | Rounds: 23 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b | Rounds: 15 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 960b960b960b960b960b960b960b960b | Rounds: 17 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c | Rounds: 44 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 2d8a5e0c2d8a5e0c2d8a5e0c2d8a5e0c | Rounds: 19 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: da3c8b0eda3c8b0eda3c8b0eda3c8b0e | Rounds: 5 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 470f470f470f470f470f470f470f470f | Rounds: 28 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 42e1770f42e1770f42e1770f42e1770f | Rounds: 39 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: fa11fa11fa11fa11fa11fa11fa11fa11 | Rounds: 13 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 341a341a341a341a341a341a341a341a | Rounds: 46 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 4e1eed1a4e1eed1a4e1eed1a4e1eed1a | Rounds: 39 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 091c091c091c091c091c091c091c091c | Rounds: 25 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 241c241c241c241c241c241c241c241c | Rounds: 11 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 3c1d3c1d3c1d3c1d3c1d3c1d3c1d3c1d | Rounds: 6 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: ed1a4e1eed1a4e1eed1a4e1eed1a4e1e | Rounds: 39 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 6fbf4e1e6fbf4e1e6fbf4e1e6fbf4e1e | Rounds: 19 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 6e4ebe1f6e4ebe1f6e4ebe1f6e4ebe1f | Rounds: 50 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: f920f920f920f920f920f920f920f920 | Rounds: 47 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 21212121212121212121212121212121 | Rounds: 25 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 7c227c227c227c227c227c227c227c22 | Rounds: 32 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 1c241c241c241c241c241c241c241c24 | Rounds: 11 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 84258425842584258425842584258425 | Rounds: 18 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 7d576f277d576f277d576f277d576f27 | Rounds: 12 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 29292929292929292929292929292929 | Rounds: 13 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a | Rounds: 17 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 8a5e0c2d8a5e0c2d8a5e0c2d8a5e0c2d | Rounds: 19 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: f9832e2df9832e2df9832e2df9832e2d | Rounds: 36 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 2df9832e2df9832e2df9832e2df9832e | Rounds: 36 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f | Rounds: 42 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: d889a72fd889a72fd889a72fd889a72f | Rounds: 18 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 31313131313131313131313131313131 | Rounds: 47 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 1a341a341a341a341a341a341a341a34 | Rounds: 46 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 36363636363636363636363636363636 | Rounds: 43 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 91399139913991399139913991399139 | Rounds: 18 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 5c3b5c3b5c3b5c3b5c3b5c3b5c3b5c3b | Rounds: 46 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 1d3c1d3c1d3c1d3c1d3c1d3c1d3c1d3c | Rounds: 6 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 8b0eda3c8b0eda3c8b0eda3c8b0eda3c | Rounds: 5 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: adaaa83eadaaa83eadaaa83eadaaa83e | Rounds: 33 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 41414141414141414141414141414141 | Rounds: 4 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: e1770f42e1770f42e1770f42e1770f42 | Rounds: 39 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 5d445d445d445d445d445d445d445d44 | Rounds: 18 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 0f470f470f470f470f470f470f470f47 | Rounds: 28 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 47474747474747474747474747474747 | Rounds: 28 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: d34cd34cd34cd34cd34cd34cd34cd34c | Rounds: 24 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 1eed1a4e1eed1a4e1eed1a4e1eed1a4e | Rounds: 39 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e | Rounds: 19 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: be1f6e4ebe1f6e4ebe1f6e4ebe1f6e4e | Rounds: 50 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 1e6fbf4e1e6fbf4e1e6fbf4e1e6fbf4e | Rounds: 19 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 53535353535353535353535353535353 | Rounds: 26 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 57575757575757575757575757575757 | Rounds: 27 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 6f277d576f277d576f277d576f277d57 | Rounds: 12 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 3b5c3b5c3b5c3b5c3b5c3b5c3b5c3b5c | Rounds: 46 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 445d445d445d445d445d445d445d445d | Rounds: 18 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: bb977a5dbb977a5dbb977a5dbb977a5d | Rounds: 3 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 0c2d8a5e0c2d8a5e0c2d8a5e0c2d8a5e | Rounds: 19 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: a169a169a169a169a169a169a169a169 | Rounds: 44 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 4ebe1f6e4ebe1f6e4ebe1f6e4ebe1f6e | Rounds: 50 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: f46ef46ef46ef46ef46ef46ef46ef46e | Rounds: 15 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: bf4e1e6fbf4e1e6fbf4e1e6fbf4e1e6f | Rounds: 19 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 277d576f277d576f277d576f277d576f | Rounds: 12 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 86718671867186718671867186718671 | Rounds: 15 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 75757575757575757575757575757575 | Rounds: 20 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 0f42e1770f42e1770f42e1770f42e177 | Rounds: 39 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 5dbb977a5dbb977a5dbb977a5dbb977a | Rounds: 3 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 227c227c227c227c227c227c227c227c | Rounds: 32 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 576f277d576f277d576f277d576f277d | Rounds: 12 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e | Rounds: 50 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 83838383838383838383838383838383 | Rounds: 10 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 2e2df9832e2df9832e2df9832e2df983 | Rounds: 36 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 25842584258425842584258425842584 | Rounds: 18 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 84848484848484848484848484848484 | Rounds: 8 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 71867186718671867186718671867186 | Rounds: 15 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 86868686868686868686868686868686 | Rounds: 49 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 88888888888888888888888888888888 | Rounds: 5 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
