Fixed Point: 91408c0291408c0291408c0291408c02 | Rounds: 21 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: ee56bc02ee56bc02ee56bc02ee56bc02 | Rounds: 11 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 55035503550355035503550355035503 | Rounds: 37 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 04040404040404040404040404040404 | Rounds: 42 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: dc04dc04dc04dc04dc04dc04dc04dc04 | Rounds: 13 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 05050505050505050505050505050505 | Rounds: 37 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 6a782a076a782a076a782a076a782a07 | Rounds: 38 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a | Rounds: 10 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b | Rounds: 15 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 300c300c300c300c300c300c300c300c | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e | Rounds: 19 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 10101010101010101010101010101010 | Rounds: 23 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 7d513b127d513b127d513b127d513b12 | Rounds: 16 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 65692618656926186569261865692618 | Rounds: 16 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: aa4cff18aa4cff18aa4cff18aa4cff18 | Rounds: 11 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c | Rounds: 49 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 18656926186569261865692618656926 | Rounds: 16 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 076a782a076a782a076a782a076a782a | Rounds: 38 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b | Rounds: 9 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 0c300c300c300c300c300c300c300c30 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 30303030303030303030303030303030 | Rounds: 24 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 71307130713071307130713071307130 | Rounds: 28 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 5a315a315a315a315a315a315a315a31 | Rounds: 24 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 33333333333333333333333333333333 | Rounds: 4 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 37373737373737373737373737373737 | Rounds: 24 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: b078ad39b078ad39b078ad39b078ad39 | Rounds: 44 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 127d513b127d513b127d513b127d513b | Rounds: 16 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 703d703d703d703d703d703d703d703d | Rounds: 10 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f | Rounds: 28 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 40404040404040404040404040404040 | Rounds: 20 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 8c0291408c0291408c0291408c029140 | Rounds: 21 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: c742c742c742c742c742c742c742c742 | Rounds: 43 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: d847d847d847d847d847d847d847d847 | Rounds: 38 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
