Fixed Point: 530d5700530d5700530d5700530d5700 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 4d6bab004d6bab004d6bab004d6bab00 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 92173301921733019217330192173301 | Rounds: 8 | Key: 80808080808080808080808080808080
Fixed Point: 4a014a014a014a014a014a014a014a01 | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: 51edfe0151edfe0151edfe0151edfe01 | Rounds: 4 | Key: 80808080808080808080808080808080
Fixed Point: 4d024d024d024d024d024d024d024d02 | Rounds: 2 | Key: 80808080808080808080808080808080
Fixed Point: 6fcf78026fcf78026fcf78026fcf7802 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 84028402840284028402840284028402 | Rounds: 6 | Key: 80808080808080808080808080808080
Fixed Point: 03030303030303030303030303030303 | Rounds: 7 | Key: 80808080808080808080808080808080
Fixed Point: 05050505050505050505050505050505 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: df05df05df05df05df05df05df05df05 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 9fdde7069fdde7069fdde7069fdde706 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 13071307130713071307130713071307 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: ca07ca07ca07ca07ca07ca07ca07ca07 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 08080808080808080808080808080808 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: 5148ab085148ab085148ab085148ab08 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 9321c2089321c2089321c2089321c208 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 47094709470947094709470947094709 | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: 160a160a160a160a160a160a160a160a | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: 187d8e0a187d8e0a187d8e0a187d8e0a | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: f00af00af00af00af00af00af00af00a | Rounds: 20 | Key: 80808080808080808080808080808080
Fixed Point: 630c630c630c630c630c630c630c630c | Rounds: 20 | Key: 80808080808080808080808080808080
Fixed Point: 5700530d5700530d5700530d5700530d | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e | Rounds: 27 | Key: 80808080808080808080808080808080
Fixed Point: 3698160e3698160e3698160e3698160e | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 62497d0e62497d0e62497d0e62497d0e | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 92a4a30e92a4a30e92a4a30e92a4a30e | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 50b6aa0f50b6aa0f50b6aa0f50b6aa0f | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 7dde1c127dde1c127dde1c127dde1c12 | Rounds: 8 | Key: 80808080808080808080808080808080
Fixed Point: 7cd94a127cd94a127cd94a127cd94a12 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 9a9979129a9979129a9979129a997912 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 79f0951279f0951279f0951279f09512 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 7dd3bf127dd3bf127dd3bf127dd3bf12 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: ecd6ed12ecd6ed12ecd6ed12ecd6ed12 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 07130713071307130713071307130713 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: a514a514a514a514a514a514a514a514 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: a915a915a915a915a915a915a915a915 | Rounds: 2 | Key: 80808080808080808080808080808080
Fixed Point: c219d715c219d715c219d715c219d715 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 0a160a160a160a160a160a160a160a16 | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: 16161616161616161616161616161616 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: 0e3698160e3698160e3698160e369816 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 269aaa16269aaa16269aaa16269aaa16 | Rounds: 8 | Key: 80808080808080808080808080808080
Fixed Point: 17171717171717171717171717171717 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: 22172217221722172217221722172217 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 33019217330192173301921733019217 | Rounds: 8 | Key: 80808080808080808080808080808080
Fixed Point: 95179517951795179517951795179517 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 7d8e0a187d8e0a187d8e0a187d8e0a18 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 4db445184db445184db445184db44518 | Rounds: 8 | Key: 80808080808080808080808080808080
Fixed Point: 87188718871887188718871887188718 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: c418c418c418c418c418c418c418c418 | Rounds: 3 | Key: 80808080808080808080808080808080
Fixed Point: 19191919191919191919191919191919 | Rounds: 27 | Key: 80808080808080808080808080808080
Fixed Point: 54195419541954195419541954195419 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: b319b319b319b319b319b319b319b319 | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: d715c219d715c219d715c219d715c219 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 8d1a8d1a8d1a8d1a8d1a8d1a8d1a8d1a | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: ee6ee61aee6ee61aee6ee61aee6ee61a | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: ef1aef1aef1aef1aef1aef1aef1aef1a | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 5c1b5c1b5c1b5c1b5c1b5c1b5c1b5c1b | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 761b761b761b761b761b761b761b761b | Rounds: 35 | Key: 80808080808080808080808080808080
