Fixed Point: 023ecf00023ecf00023ecf00023ecf00 | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: acea8a01acea8a01acea8a01acea8a01 | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: bceae801bceae801bceae801bceae801 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 3ecf00023ecf00023ecf00023ecf0002 | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 8c1f20028c1f20028c1f20028c1f2002 | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: 5c025c025c025c025c025c025c025c02 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: c6f6b702c6f6b702c6f6b702c6f6b702 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: e804e804e804e804e804e804e804e804 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 05050505050505050505050505050505 | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: 2830dd062830dd062830dd062830dd06 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 73077307730773077307730773077307 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: a681d307a681d307a681d307a681d307 | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: e7729a08e7729a08e7729a08e7729a08 | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: 1f6cc2081f6cc2081f6cc2081f6cc208 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 09090909090909090909090909090909 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: 85547509855475098554750985547509 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: c0d0de09c0d0de09c0d0de09c0d0de09 | Rounds: 12 | Key: 88888888888888888888888888888888
Fixed Point: f209f209f209f209f209f209f209f209 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: 820a820a820a820a820a820a820a820a | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: e729f80be729f80be729f80be729f80b | Rounds: 4 | Key: 88888888888888888888888888888888
Fixed Point: 24bb400c24bb400c24bb400c24bb400c | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 7f154d0d7f154d0d7f154d0d7f154d0d | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 6a0d6a0d6a0d6a0d6a0d6a0d6a0d6a0d | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 3bd9f70d3bd9f70d3bd9f70d3bd9f70d | Rounds: 2 | Key: 88888888888888888888888888888888
Fixed Point: 25fdc70f25fdc70f25fdc70f25fdc70f | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: 4e82c2104e82c2104e82c2104e82c210 | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 11111111111111111111111111111111 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: e711e711e711e711e711e711e711e711 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 13131313131313131313131313131313 | Rounds: 8 | Key: 88888888888888888888888888888888
Fixed Point: 4d0d7f154d0d7f154d0d7f154d0d7f15 | Rounds: 38 | Key: 88888888888888888888888888888888
