Fixed Point: 2c82ec032c82ec032c82ec032c82ec03 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: af04af04af04af04af04af04af04af04 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 4e064e064e064e064e064e064e064e06 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 7f067f067f067f067f067f067f067f06 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 47074707470747074707470747074707 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 4039d0074039d0074039d0074039d007 | Rounds: 4 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: a608a608a608a608a608a608a608a608 | Rounds: 2 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 810a810a810a810a810a810a810a810a | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 850b850b850b850b850b850b850b850b | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 2c0f2c0f2c0f2c0f2c0f2c0f2c0f2c0f | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 96365e0f96365e0f96365e0f96365e0f | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: d10fd10fd10fd10fd10fd10fd10fd10f | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: cacdc010cacdc010cacdc010cacdc010 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 4b134b134b134b134b134b134b134b13 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: b2b2ac17b2b2ac17b2b2ac17b2b2ac17 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 72197219721972197219721972197219 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: a61ba61ba61ba61ba61ba61ba61ba61b | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 951d951d951d951d951d951d951d951d | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e | Rounds: 1 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 5a245a245a245a245a245a245a245a24 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 62256225622562256225622562256225 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: b82bb82bb82bb82bb82bb82bb82bb82b | Rounds: 10 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 7338bc2b7338bc2b7338bc2b7338bc2b | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 82ec032c82ec032c82ec032c82ec032c | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 0f2c0f2c0f2c0f2c0f2c0f2c0f2c0f2c | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 962d962d962d962d962d962d962d962d | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 30303030303030303030303030303030 | Rounds: 6 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 77e2b93077e2b93077e2b93077e2b930 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: c1b34833c1b34833c1b34833c1b34833 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: a633a633a633a633a633a633a633a633 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 5e0f96365e0f96365e0f96365e0f9636 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 38383838383838383838383838383838 | Rounds: 4 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: bc2b7338bc2b7338bc2b7338bc2b7338 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 39393939393939393939393939393939 | Rounds: 6 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: d0074039d0074039d0074039d0074039 | Rounds: 4 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 4e3d4e3d4e3d4e3d4e3d4e3d4e3d4e3d | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 47827e3f47827e3f47827e3f47827e3f | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 39d0074039d0074039d0074039d00740 | Rounds: 4 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 55795940557959405579594055795940 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: b740b740b740b740b740b740b740b740 | Rounds: 10 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 07470747074707470747074707470747 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 827e3f47827e3f47827e3f47827e3f47 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 33c1b34833c1b34833c1b34833c1b348 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 6c74d8486c74d8486c74d8486c74d848 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 134b134b134b134b134b134b134b134b | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: bceca24bbceca24bbceca24bbceca24b | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 064e064e064e064e064e064e064e064e | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 3d4e3d4e3d4e3d4e3d4e3d4e3d4e3d4e | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: db4fdb4fdb4fdb4fdb4fdb4fdb4fdb4f | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 9e509e509e509e509e509e509e509e50 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: c850c850c850c850c850c850c850c850 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 8f528f528f528f528f528f528f528f52 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 9c529c529c529c529c529c529c529c52 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 79594055795940557959405579594055 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: a355a355a355a355a355a355a355a355 | Rounds: 2 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 6b566b566b566b566b566b566b566b56 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: dc57dc57dc57dc57dc57dc57dc57dc57 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 40557959405579594055795940557959 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: be59be59be59be59be59be59be59be59 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 245a245a245a245a245a245a245a245a | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: fa5afa5afa5afa5afa5afa5afa5afa5a | Rounds: 10 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c | Rounds: 6 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: e05ce05ce05ce05ce05ce05ce05ce05c | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 0f96365e0f96365e0f96365e0f96365e | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 25622562256225622562256225622562 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 6ab888656ab888656ab888656ab88865 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 829c9168829c9168829c9168829c9168 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: b888656ab888656ab888656ab888656a | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 566b566b566b566b566b566b566b566b | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
