Fixed Point: af290500af290500af290500af290500 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 2e9909032e9909032e9909032e990903 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 00af290500af290500af290500af2905 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 5e075e075e075e075e075e075e075e07 | Rounds: 38 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 032e9909032e9909032e9909032e9909 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 36dce50a36dce50a36dce50a36dce50a | Rounds: 9 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: f70bf70bf70bf70bf70bf70bf70bf70b | Rounds: 4 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d3a12e0cd3a12e0cd3a12e0cd3a12e0c | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 2b0d2b0d2b0d2b0d2b0d2b0d2b0d2b0d | Rounds: 2 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: b40db40db40db40db40db40db40db40d | Rounds: 18 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: e37f2e0ee37f2e0ee37f2e0ee37f2e0e | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 5a105a105a105a105a105a105a105a10 | Rounds: 24 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d510d510d510d510d510d510d510d510 | Rounds: 24 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
