Fixed Point: 11945001119450011194500111945001 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: b5f27e03b5f27e03b5f27e03b5f27e03 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 8c38f1038c38f1038c38f1038c38f103 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 06060606060606060606060606060606 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 7d2687087d2687087d2687087d268708 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 5cf5c00d5cf5c00d5cf5c00d5cf5c00d | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 44a3510f44a3510f44a3510f44a3510f | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 620f620f620f620f620f620f620f620f | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 99d0cb1099d0cb1099d0cb1099d0cb10 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 94500111945001119450011194500111 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 414a4b11414a4b11414a4b11414a4b11 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 7e98d7127e98d7127e98d7127e98d712 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 8f7027198f7027198f7027198f702719 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a | Rounds: 1 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 5177481c5177481c5177481c5177481c | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 4d1c4d1c4d1c4d1c4d1c4d1c4d1c4d1c | Rounds: 4 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 78bbce2278bbce2278bbce2278bbce22 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 87087d2687087d2687087d2687087d26 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: e2705127e2705127e2705127e2705127 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 198f7027198f7027198f7027198f7027 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 43d4bd2743d4bd2743d4bd2743d4bd27 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: d927d927d927d927d927d927d927d927 | Rounds: 6 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 8e39c8298e39c8298e39c8298e39c829 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: b7604731b7604731b7604731b7604731 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: e4718f35e4718f35e4718f35e4718f35 | Rounds: 4 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 36363636363636363636363636363636 | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: a98aa237a98aa237a98aa237a98aa237 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: f1038c38f1038c38f1038c38f1038c38 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: c8298e39c8298e39c8298e39c8298e39 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 5d5d713a5d5d713a5d5d713a5d5d713a | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: aceef73aaceef73aaceef73aaceef73a | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: e6de4d3be6de4d3be6de4d3be6de4d3b | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d | Rounds: 10 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
