Fixed Point: 00000000000000000000000000000000 | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 01010101010101010101010101010101 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 319d5e01319d5e01319d5e01319d5e01 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 99346201993462019934620199346201 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 08080808080808080808080808080808 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 55766c0855766c0855766c0855766c08 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 09090909090909090909090909090909 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8cf4d70b8cf4d70b8cf4d70b8cf4d70b | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 11111111111111111111111111111111 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 1eb719111eb719111eb719111eb71911 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 12121212121212121212121212121212 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 2d8aee122d8aee122d8aee122d8aee12 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 9ef2a0139ef2a0139ef2a0139ef2a013 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 14141414141414141414141414141414 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 9242d8159242d8159242d8159242d815 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8eba6f168eba6f168eba6f168eba6f16 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 17171717171717171717171717171717 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8025aa188025aa188025aa188025aa18 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 256bce18256bce18256bce18256bce18 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 19191919191919191919191919191919 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 2a6134192a6134192a6134192a613419 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 111eb719111eb719111eb719111eb719 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8eaf391a8eaf391a8eaf391a8eaf391a | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 9db0f71c9db0f71c9db0f71c9db0f71c | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: b719111eb719111eb719111eb719111e | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 4ecb841e4ecb841e4ecb841e4ecb841e | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3534921e3534921e3534921e3534921e | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 21212121212121212121212121212121 | Rounds: 5 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 81363022813630228136302281363022 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 23232323232323232323232323232323 | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 736b7023736b7023736b7023736b7023 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6bce18256bce18256bce18256bce1825 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8d6241258d6241258d6241258d624125 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 48254825482548254825482548254825 | Rounds: 1 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: aa188025aa188025aa188025aa188025 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 5152db255152db255152db255152db25 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 27272727272727272727272727272727 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8e81f8278e81f8278e81f8278e81f827 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 28282828282828282828282828282828 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 46284628462846284628462846284628 | Rounds: 1 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3364f8283364f8283364f8283364f828 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6134192a6134192a6134192a6134192a | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8aee122d8aee122d8aee122d8aee122d | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6d6c932f6d6c932f6d6c932f6d6c932f | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 30303030303030303030303030303030 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 22813630228136302281363022813630 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 9d5e01319d5e01319d5e01319d5e0131 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 64f8283364f8283364f8283364f82833 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 921e3534921e3534921e3534921e3534 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 192a6134192a6134192a6134192a6134 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 62019934620199346201993462019934 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 34921e3534921e3534921e3534921e35 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 30228136302281363022813630228136 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 1a8eaf391a8eaf391a8eaf391a8eaf39 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6ffffe396ffffe396ffffe396ffffe39 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: ff95a73cff95a73cff95a73cff95a73c | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d | Rounds: 5 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 40404040404040404040404040404040 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 596fe840596fe840596fe840596fe840 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 258d6241258d6241258d6241258d6241 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 42424242424242424242424242424242 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: d8159242d8159242d8159242d8159242 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 28462846284628462846284628462846 | Rounds: 1 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 46464646464646464646464646464646 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: d2e2c546d2e2c546d2e2c546d2e2c546 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 25482548254825482548254825482548 | Rounds: 1 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: cb841e4ecb841e4ecb841e4ecb841e4e | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 52db255152db255152db255152db2551 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 51515151515151515151515151515151 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: db255152db255152db255152db255152 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 52525252525252525252525252525252 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 54545454545454545454545454545454 | Rounds: 5 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8efef5548efef5548efef5548efef554 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 766c0855766c0855766c0855766c0855 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6fe840596fe840596fe840596fe84059 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 01319d5e01319d5e01319d5e01319d5e | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 34192a6134192a6134192a6134192a61 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 01993462019934620199346201993462 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 62626262626262626262626262626262 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 41258d6241258d6241258d6241258d62 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: a263a263a263a263a263a263a263a263 | Rounds: 2 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: f8283364f8283364f8283364f8283364 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 64646464646464646464646464646464 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: ce18256bce18256bce18256bce18256b | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 7023736b7023736b7023736b7023736b | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
