Fixed Point: 9c123d009c123d009c123d009c123d00 | Rounds: 28 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: f505f505f505f505f505f505f505f505 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 85068506850685068506850685068506 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 07070707070707070707070707070707 | Rounds: 12 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 46074607460746074607460746074607 | Rounds: 20 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 08080808080808080808080808080808 | Rounds: 12 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 510a510a510a510a510a510a510a510a | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b | Rounds: 21 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 720b720b720b720b720b720b720b720b | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d | Rounds: 12 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e | Rounds: 21 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 200e200e200e200e200e200e200e200e | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 8d0e8d0e8d0e8d0e8d0e8d0e8d0e8d0e | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f | Rounds: 21 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: cc0fcc0fcc0fcc0fcc0fcc0fcc0fcc0f | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 70107010701070107010701070107010 | Rounds: 11 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: ba10ba10ba10ba10ba10ba10ba10ba10 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: f6c3c710f6c3c710f6c3c710f6c3c710 | Rounds: 4 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: e610e610e610e610e610e610e610e610 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 11111111111111111111111111111111 | Rounds: 22 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: dd11dd11dd11dd11dd11dd11dd11dd11 | Rounds: 11 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 3d009c123d009c123d009c123d009c12 | Rounds: 28 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 16161616161616161616161616161616 | Rounds: 21 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: b216b216b216b216b216b216b216b216 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 17171717171717171717171717171717 | Rounds: 22 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: d917d917d917d917d917d917d917d917 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 18181818181818181818181818181818 | Rounds: 12 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 4ae4bb1b4ae4bb1b4ae4bb1b4ae4bb1b | Rounds: 28 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e | Rounds: 22 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f | Rounds: 12 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: ed703a1fed703a1fed703a1fed703a1f | Rounds: 6 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 6f1f6f1f6f1f6f1f6f1f6f1f6f1f6f1f | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 0e200e200e200e200e200e200e200e20 | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 69206920692069206920692069206920 | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 22222222222222222222222222222222 | Rounds: 21 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 23232323232323232323232323232323 | Rounds: 22 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 6748ea236748ea236748ea236748ea23 | Rounds: 6 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 50245024502450245024502450245024 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: c724c724c724c724c724c724c724c724 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 84bcbe2584bcbe2584bcbe2584bcbe25 | Rounds: 28 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: a526a526a526a526a526a526a526a526 | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: b728b728b728b728b728b728b728b728 | Rounds: 20 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 5884d7285884d7285884d7285884d728 | Rounds: 6 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 29292929292929292929292929292929 | Rounds: 22 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 842b842b842b842b842b842b842b842b | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: f62bf62bf62bf62bf62bf62bf62bf62b | Rounds: 11 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: d52dd52dd52dd52dd52dd52dd52dd52d | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 7f2e7f2e7f2e7f2e7f2e7f2e7f2e7f2e | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
