Fixed Point: 0b000b000b000b000b000b000b000b00 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 0bc764030bc764030bc764030bc76403 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 76037603760376037603760376037603 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: d103d103d103d103d103d103d103d103 | Rounds: 3 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 7ef531047ef531047ef531047ef53104 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: d105d105d105d105d105d105d105d105 | Rounds: 9 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 67312707673127076731270767312707 | Rounds: 4 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: ec07ec07ec07ec07ec07ec07ec07ec07 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 215c5508215c5508215c5508215c5508 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 000b000b000b000b000b000b000b000b | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: c764030bc764030bc764030bc764030b | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b | Rounds: 21 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 260c260c260c260c260c260c260c260c | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: e30ce30ce30ce30ce30ce30ce30ce30c | Rounds: 2 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 8fe882108fe882108fe882108fe88210 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: ed10ed10ed10ed10ed10ed10ed10ed10 | Rounds: 9 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: ee10ee10ee10ee10ee10ee10ee10ee10 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 2b9edc122b9edc122b9edc122b9edc12 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: c815c815c815c815c815c815c815c815 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
