Fixed Point: 5f0123005f0123005f0123005f012300 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 01010101010101010101010101010101 | Rounds: 5 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: aef40901aef40901aef40901aef40901 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 185b4c01185b4c01185b4c01185b4c01 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 23005f0123005f0123005f0123005f01 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 02020202020202020202020202020202 | Rounds: 13 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 42054205420542054205420542054205 | Rounds: 1 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: b7358c07b7358c07b7358c07b7358c07 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: ec09ec09ec09ec09ec09ec09ec09ec09 | Rounds: 34 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 01aef40901aef40901aef40901aef409 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 100d100d100d100d100d100d100d100d | Rounds: 1 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: b5a51c0fb5a51c0fb5a51c0fb5a51c0f | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 0d100d100d100d100d100d100d100d10 | Rounds: 1 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 20d8581320d8581320d8581320d85813 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: aac12017aac12017aac12017aac12017 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 4363a9174363a9174363a9174363a917 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 5b4c01185b4c01185b4c01185b4c0118 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 0fb5a51c0fb5a51c0fb5a51c0fb5a51c | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: e189b71de189b71de189b71de189b71d | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 3d91941e3d91941e3d91941e3d91941e | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: d8581320d8581320d8581320d8581320 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 17aac12017aac12017aac12017aac120 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 98219821982198219821982198219821 | Rounds: 34 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
