Fixed Point: 6daebc076daebc076daebc076daebc07 | Rounds: 4 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a | Rounds: 12 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: a111a111a111a111a111a111a111a111 | Rounds: 1 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b | Rounds: 12 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 70dfd83b70dfd83b70dfd83b70dfd83b | Rounds: 1 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 49494949494949494949494949494949 | Rounds: 4 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 58585858585858585858585858585858 | Rounds: 12 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: aebc076daebc076daebc076daebc076d | Rounds: 4 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: dfd83b70dfd83b70dfd83b70dfd83b70 | Rounds: 1 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 75757575757575757575757575757575 | Rounds: 1 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c | Rounds: 12 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 81818181818181818181818181818181 | Rounds: 2 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 82828282828282828282828282828282 | Rounds: 12 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c | Rounds: 1 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e | Rounds: 4 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f | Rounds: 12 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b | Rounds: 12 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: 11a111a111a111a111a111a111a111a1 | Rounds: 1 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
Fixed Point: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9 | Rounds: 12 | Key: e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
