Fixed Point: 21002100210021002100210021002100 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 6b006b006b006b006b006b006b006b00 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 9d009d009d009d009d009d009d009d00 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 3c013c013c013c013c013c013c013c01 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 46034603460346034603460346034603 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 66036603660366036603660366036603 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: d007d007d007d007d007d007d007d007 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: f813d108f813d108f813d108f813d108 | Rounds: 4 | Key: 18181818181818181818181818181818
Fixed Point: 0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: 1c0c1c0c1c0c1c0c1c0c1c0c1c0c1c0c | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: a50ea50ea50ea50ea50ea50ea50ea50e | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: e60ee60ee60ee60ee60ee60ee60ee60e | Rounds: 20 | Key: 18181818181818181818181818181818
Fixed Point: 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f | Rounds: 3 | Key: 18181818181818181818181818181818
Fixed Point: 440f440f440f440f440f440f440f440f | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 91109110911091109110911091109110 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 13131313131313131313131313131313 | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: 62136213621362136213621362136213 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: d108f813d108f813d108f813d108f813 | Rounds: 4 | Key: 18181818181818181818181818181818
Fixed Point: 15151515151515151515151515151515 | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: 16161616161616161616161616161616 | Rounds: 3 | Key: 18181818181818181818181818181818
Fixed Point: 57175717571757175717571757175717 | Rounds: 25 | Key: 18181818181818181818181818181818
