Fixed Point: 4c004c004c004c004c004c004c004c00 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 8d008d008d008d008d008d008d008d00 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 3f013f013f013f013f013f013f013f01 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 58045804580458045804580458045804 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 473eff04473eff04473eff04473eff04 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 74057405740574057405740574057405 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: e706e706e706e706e706e706e706e706 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 41074107410741074107410741074107 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 499d6b07499d6b07499d6b07499d6b07 | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: da08da08da08da08da08da08da08da08 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 250a250a250a250a250a250a250a250a | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 4d0a4d0a4d0a4d0a4d0a4d0a4d0a4d0a | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: 850a850a850a850a850a850a850a850a | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: c30ac30ac30ac30ac30ac30ac30ac30a | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: ed0aed0aed0aed0aed0aed0aed0aed0a | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b | Rounds: 1 | Key: 20202020202020202020202020202020
Fixed Point: 300b300b300b300b300b300b300b300b | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 4625450c4625450c4625450c4625450c | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 4bf3910c4bf3910c4bf3910c4bf3910c | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: fa0cfa0cfa0cfa0cfa0cfa0cfa0cfa0c | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 530e530e530e530e530e530e530e530e | Rounds: 43 | Key: 20202020202020202020202020202020
