Fixed Point: 0a010a010a010a010a010a010a010a01 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: c006c006c006c006c006c006c006c006 | Rounds: 19 | Key: 28282828282828282828282828282828
Fixed Point: 07070707070707070707070707070707 | Rounds: 25 | Key: 28282828282828282828282828282828
Fixed Point: ab07ab07ab07ab07ab07ab07ab07ab07 | Rounds: 2 | Key: 28282828282828282828282828282828
Fixed Point: 4e7167084e7167084e7167084e716708 | Rounds: 6 | Key: 28282828282828282828282828282828
Fixed Point: 010a010a010a010a010a010a010a010a | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 360a360a360a360a360a360a360a360a | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: 400c400c400c400c400c400c400c400c | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 84108410841084108410841084108410 | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: 98109810981098109810981098109810 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 5a115a115a115a115a115a115a115a11 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 15151515151515151515151515151515 | Rounds: 3 | Key: 28282828282828282828282828282828
Fixed Point: 66156615661566156615661566156615 | Rounds: 19 | Key: 28282828282828282828282828282828
Fixed Point: 9b159b159b159b159b159b159b159b15 | Rounds: 19 | Key: 28282828282828282828282828282828
Fixed Point: 79167916791679167916791679167916 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 78177817781778177817781778177817 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: a61aa61aa61aa61aa61aa61aa61aa61a | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: 1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b | Rounds: 25 | Key: 28282828282828282828282828282828
Fixed Point: 9d1b9d1b9d1b9d1b9d1b9d1b9d1b9d1b | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: ae1bae1bae1bae1bae1bae1bae1bae1b | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: d81dd81dd81dd81dd81dd81dd81dd81d | Rounds: 1 | Key: 28282828282828282828282828282828
Fixed Point: a01fa01fa01fa01fa01fa01fa01fa01f | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: b81fb81fb81fb81fb81fb81fb81fb81f | Rounds: 2 | Key: 28282828282828282828282828282828
Fixed Point: 3dfee51f3dfee51f3dfee51f3dfee51f | Rounds: 6 | Key: 28282828282828282828282828282828
Fixed Point: bc21bc21bc21bc21bc21bc21bc21bc21 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: d423d423d423d423d423d423d423d423 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: f623f623f623f623f623f623f623f623 | Rounds: 19 | Key: 28282828282828282828282828282828
Fixed Point: 28252825282528252825282528252825 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 43254325432543254325432543254325 | Rounds: 19 | Key: 28282828282828282828282828282828
Fixed Point: 26262626262626262626262626262626 | Rounds: 25 | Key: 28282828282828282828282828282828
Fixed Point: f626f626f626f626f626f626f626f626 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 25282528252825282528252825282528 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: a12da12da12da12da12da12da12da12d | Rounds: 19 | Key: 28282828282828282828282828282828
Fixed Point: 772e772e772e772e772e772e772e772e | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: 0a360a360a360a360a360a360a360a36 | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: 3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b | Rounds: 5 | Key: 28282828282828282828282828282828
Fixed Point: fee51f3dfee51f3dfee51f3dfee51f3d | Rounds: 6 | Key: 28282828282828282828282828282828
Fixed Point: 3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f | Rounds: 25 | Key: 28282828282828282828282828282828
Fixed Point: d53fd53fd53fd53fd53fd53fd53fd53f | Rounds: 19 | Key: 28282828282828282828282828282828
Fixed Point: 0c400c400c400c400c400c400c400c40 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 8d408d408d408d408d408d408d408d40 | Rounds: 19 | Key: 28282828282828282828282828282828
Fixed Point: c040c040c040c040c040c040c040c040 | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: 25432543254325432543254325432543 | Rounds: 19 | Key: 28282828282828282828282828282828
Fixed Point: 87438743874387438743874387438743 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: b8a9d246b8a9d246b8a9d246b8a9d246 | Rounds: 6 | Key: 28282828282828282828282828282828
Fixed Point: d346d346d346d346d346d346d346d346 | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: fe47fe47fe47fe47fe47fe47fe47fe47 | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: 53485348534853485348534853485348 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 7167084e7167084e7167084e7167084e | Rounds: 6 | Key: 28282828282828282828282828282828
Fixed Point: 4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e | Rounds: 25 | Key: 28282828282828282828282828282828
Fixed Point: 8a4e8a4e8a4e8a4e8a4e8a4e8a4e8a4e | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: 48534853485348534853485348534853 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 70537053705370537053705370537053 | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: c653c653c653c653c653c653c653c653 | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: 57575757575757575757575757575757 | Rounds: 25 | Key: 28282828282828282828282828282828
Fixed Point: 115a115a115a115a115a115a115a115a | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c | Rounds: 5 | Key: 28282828282828282828282828282828
Fixed Point: ef5cef5cef5cef5cef5cef5cef5cef5c | Rounds: 36 | Key: 28282828282828282828282828282828
Fixed Point: 5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d | Rounds: 25 | Key: 28282828282828282828282828282828
Fixed Point: 785d785d785d785d785d785d785d785d | Rounds: 19 | Key: 28282828282828282828282828282828
Fixed Point: 62626262626262626262626262626262 | Rounds: 5 | Key: 28282828282828282828282828282828
Fixed Point: 79627962796279627962796279627962 | Rounds: 32 | Key: 28282828282828282828282828282828
Fixed Point: 63636363636363636363636363636363 | Rounds: 25 | Key: 28282828282828282828282828282828
Fixed Point: 64646464646464646464646464646464 | Rounds: 25 | Key: 28282828282828282828282828282828
