Fixed Point: ce00ce00ce00ce00ce00ce00ce00ce00 | Rounds: 39 | Key: 60606060606060606060606060606060
Fixed Point: 0c6051010c6051010c6051010c605101 | Rounds: 50 | Key: 60606060606060606060606060606060
Fixed Point: 30073007300730073007300730073007 | Rounds: 27 | Key: 60606060606060606060606060606060
Fixed Point: 08080808080808080808080808080808 | Rounds: 16 | Key: 60606060606060606060606060606060
Fixed Point: 43781508437815084378150843781508 | Rounds: 46 | Key: 60606060606060606060606060606060
Fixed Point: 6051010c6051010c6051010c6051010c | Rounds: 50 | Key: 60606060606060606060606060606060
Fixed Point: 5facf7105facf7105facf7105facf710 | Rounds: 4 | Key: 60606060606060606060606060606060
Fixed Point: 11111111111111111111111111111111 | Rounds: 19 | Key: 60606060606060606060606060606060
Fixed Point: 358df412358df412358df412358df412 | Rounds: 18 | Key: 60606060606060606060606060606060
Fixed Point: 49b9421349b9421349b9421349b94213 | Rounds: 13 | Key: 60606060606060606060606060606060
Fixed Point: a014a014a014a014a014a014a014a014 | Rounds: 40 | Key: 60606060606060606060606060606060
Fixed Point: 08437815084378150843781508437815 | Rounds: 46 | Key: 60606060606060606060606060606060
Fixed Point: 7463be177463be177463be177463be17 | Rounds: 15 | Key: 60606060606060606060606060606060
Fixed Point: d71dd71dd71dd71dd71dd71dd71dd71d | Rounds: 29 | Key: 60606060606060606060606060606060
Fixed Point: 59c9e91d59c9e91d59c9e91d59c9e91d | Rounds: 40 | Key: 60606060606060606060606060606060
Fixed Point: 1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e | Rounds: 37 | Key: 60606060606060606060606060606060
Fixed Point: fe28c11efe28c11efe28c11efe28c11e | Rounds: 25 | Key: 60606060606060606060606060606060
Fixed Point: 20202020202020202020202020202020 | Rounds: 15 | Key: 60606060606060606060606060606060
Fixed Point: cadb5c20cadb5c20cadb5c20cadb5c20 | Rounds: 12 | Key: 60606060606060606060606060606060
Fixed Point: 21212121212121212121212121212121 | Rounds: 24 | Key: 60606060606060606060606060606060
Fixed Point: 5a8e7c235a8e7c235a8e7c235a8e7c23 | Rounds: 13 | Key: 60606060606060606060606060606060
Fixed Point: 25252525252525252525252525252525 | Rounds: 12 | Key: 60606060606060606060606060606060
Fixed Point: c11efe28c11efe28c11efe28c11efe28 | Rounds: 25 | Key: 60606060606060606060606060606060
Fixed Point: 2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a | Rounds: 47 | Key: 60606060606060606060606060606060
