Fixed Point: b400b400b400b400b400b400b400b400 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 02020202020202020202020202020202 | Rounds: 8 | Key: 48484848484848484848484848484848
Fixed Point: be754502be754502be754502be754502 | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: 3ebcaa023ebcaa023ebcaa023ebcaa02 | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: d002d002d002d002d002d002d002d002 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 6213d0026213d0026213d0026213d002 | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: ec02ec02ec02ec02ec02ec02ec02ec02 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 7c037c037c037c037c037c037c037c03 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 83038303830383038303830383038303 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 05050505050505050505050505050505 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: a705a705a705a705a705a705a705a705 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 5c065c065c065c065c065c065c065c06 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 91069106910691069106910691069106 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 33073307330733073307330733073307 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 6d086d086d086d086d086d086d086d08 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: e508e508e508e508e508e508e508e508 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 1a091a091a091a091a091a091a091a09 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: ca0aca0aca0aca0aca0aca0aca0aca0a | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 510b510b510b510b510b510b510b510b | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: e00ee00ee00ee00ee00ee00ee00ee00e | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 66106610661066106610661066106610 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: d210d210d210d210d210d210d210d210 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 1e111e111e111e111e111e111e111e11 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: c011c011c011c011c011c011c011c011 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 12121212121212121212121212121212 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: bd12bd12bd12bd12bd12bd12bd12bd12 | Rounds: 10 | Key: 48484848484848484848484848484848
Fixed Point: de12de12de12de12de12de12de12de12 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: d0026213d0026213d0026213d0026213 | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 47144714471447144714471447144714 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: b62f6a14b62f6a14b62f6a14b62f6a14 | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 75147514751475147514751475147514 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: b714b714b714b714b714b714b714b714 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: cb14cb14cb14cb14cb14cb14cb14cb14 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: 8b392c158b392c158b392c158b392c15 | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 16161616161616161616161616161616 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: d416d416d416d416d416d416d416d416 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 26182618261826182618261826182618 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 81188118811881188118811881188118 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: 091a091a091a091a091a091a091a091a | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: ce1ace1ace1ace1ace1ace1ace1ace1a | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 7c1b7c1b7c1b7c1b7c1b7c1b7c1b7c1b | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: a01ca01ca01ca01ca01ca01ca01ca01c | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: a11da11da11da11da11da11da11da11d | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: bc1dbc1dbc1dbc1dbc1dbc1dbc1dbc1d | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: 111e111e111e111e111e111e111e111e | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 451f451f451f451f451f451f451f451f | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 21212121212121212121212121212121 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 3e223e223e223e223e223e223e223e22 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 23232323232323232323232323232323 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 69236923692369236923692369236923 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: cf24cf24cf24cf24cf24cf24cf24cf24 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: e824e824e824e824e824e824e824e824 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 4b254b254b254b254b254b254b254b25 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 18261826182618261826182618261826 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 872a872a872a872a872a872a872a872a | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 158b392c158b392c158b392c158b392c | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 502c502c502c502c502c502c502c502c | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 9b6ede2c9b6ede2c9b6ede2c9b6ede2c | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: a02ea02ea02ea02ea02ea02ea02ea02e | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 6a14b62f6a14b62f6a14b62f6a14b62f | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: e52fe52fe52fe52fe52fe52fe52fe52f | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 31313131313131313131313131313131 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 36313631363136313631363136313631 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: c131c131c131c131c131c131c131c131 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 61326132613261326132613261326132 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: e632e632e632e632e632e632e632e632 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 07330733073307330733073307330733 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 31363136313631363136313631363136 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 42394239423942394239423942394239 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 2c158b392c158b392c158b392c158b39 | Rounds: 24 | Key: 48484848484848484848484848484848
